item_id,category,name,subtype,rarity,attunement,consumable,source,heliana_n,heliana_recipes,notes,rarity_norm,category_norm,attunement_norm,source_ref,power_band
cloak_of_arachnida,Wondrous Item,Cloak of Arachnida,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This fine garment is made of black silk interwoven with faint, silvery threads.",very rare,wondrous,yes,DMG,4
cloak_of_billowing,Wondrous Item,Cloak of Billowing,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this cloak, you can take a Bonus Action to make it billow dramatically for 1 minute.",common,wondrous,no,DMG,1
cloak_of_displacement,Wondrous Item,Cloak of Displacement,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you wear this cloak, it magically projects an illusion that makes you appear to be standing in a place near your actual location, causing any creature to have Disadvantage on attack rollsagainst you.",rare,wondrous,yes,DMG,3
cloak_of_elvenkind,Wondrous Item,Cloak of Elvenkind,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you wear this cloak, Wisdom (Perception) checks made to perceive you have Disadvantage, and you have Advantage on Dexterity (Stealth) checks.",uncommon,wondrous,yes,DMG,2
cloak_of_invisibility,Wondrous Item,Cloak of Invisibility,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This cloak has 3 charges and regains 1d3 expended charges daily at dawn.,legendary,wondrous,yes,DMG,5
cloak_of_many_fashions,Wondrous Item,Cloak of Many Fashions,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this cloak, you can take a Bonus Action to change the style, color, and apparent quality of the garment.",common,wondrous,no,DMG,1
cloak_of_protection,Wondrous Item,Cloak of Protection,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,You gain a +1 bonus to Armor Class and saving throws while you wear this cloak.,uncommon,wondrous,yes,DMG,2
cloak_of_the_bat,Wondrous Item,Cloak of the Bat,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this cloak, you have Advantage on Dexterity (Stealth) checks.",rare,wondrous,yes,DMG,3
cloak_of_the_manta_ray,Wondrous Item,Cloak of the Manta Ray,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this cloak, you can breathe underwater, and you have a Swim Speed of 60 feet.",uncommon,wondrous,yes,DMG,2
clockwork_amulet,Wondrous Item,Clockwork Amulet,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This copper amulet contains tiny interlocking gears and is powered by magic from Mechanus, a plane of clockwork predictability.",common,wondrous,no,DMG,1
clothes_of_mending,Wondrous Item,Clothes of Mending,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"CLOAK OF ELVENKIND, CLOAK OF MANY FASHIONS, CLOAK OF PROTECTION, CLOAK OF THE MANTA RAY",common,wondrous,no,DMG,1
crystal_ball,Wondrous Item,Crystal Ball,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",very rare,wondrous,yes,DMG,4
crystal_ball_of_mind_reading,Wondrous Item,Crystal Ball of Mind Reading,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",legendary,wondrous,yes,DMG,5
crystal_ball_of_telepathy,Wondrous Item,Crystal Ball of Telepathy,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",legendary,wondrous,yes,DMG,5
crystal_ball_of_true_seeing,Wondrous Item,Crystal Ball of True Seeing,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While touching this crystal orb, you can cast Scrying (save DC 17) with it.",legendary,wondrous,yes,DMG,5
cube_of_force,Wondrous Item,Cube of Force,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This cube is about an inch across.,rare,wondrous,yes,DMG,3
cube_of_summoning,Wondrous Item,Cube of Summoning,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,This Tiny cube looks like a jack-in-the-box.,rare,wondrous,no,DMG,3
cubic_gate,Wondrous Item,Cubic Gate,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),0,,This cube is 3 inches across and radiates palpable magical energy.,legendary,wondrous,no,DMG,5
daern_s_instant_fortress,Wondrous Item,Daern’s Instant Fortress,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"As a Magic action, you can place this 1-inch adamantine statuette on the ground and, using a command word, cause it to grow rapidly into a square adamantine tower.",rare,wondrous,yes,DMG,3
dark_shard_amulet,Wondrous Item,Dark Shard Amulet,,Common,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This amulet is fashioned from a shard of resilient material originating from an otherworldly realm.,common,wondrous,yes,DMG,1
decanter_of_endless_water,Wondrous Item,Decanter of Endless Water,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This stoppered flask sloshes when shaken, as if it contains water.",uncommon,wondrous,no,DMG,2
deck_of_illusions,Wondrous Item,Deck of Illusions,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This box contains a set of cards.,uncommon,wondrous,no,DMG,2
deck_of_many_things,Wondrous Item,Deck of Many Things,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),0,,"Usually found in a box or pouch, this deck contains a number of cards made of ivory or vellum.",legendary,wondrous,no,DMG,5
demonomicon_of_iggwilv,Wondrous Item,Demonomicon of Iggwilv,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This treatise, composed by Iggwilv the archmage, documents the Abyss’s layers and inhabitants and is widely regarded as the most thorough and blasphemous tome of demonology in themultiverse.",artifact,wondrous,yes,DMG,5
dimensional_shackles,Wondrous Item,Dimensional Shackles,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,You can take a Utilize action to place these shackles on a creature that has the Incapacitated condition.,rare,wondrous,no,DMG,3
dread_helm,Wondrous Item,Dread Helm,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you’re wearing this fearsome steel helm, your eyes glow red and the rest of your face is hidden in shadow.",common,wondrous,no,DMG,1
driftglobe,Wondrous Item,Driftglobe,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This small sphere of thick glass weighs 1 pound.,uncommon,wondrous,no,DMG,2
dust_of_disappearance,Wondrous Item,Dust of Disappearance,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This powder resembles fine sand.,uncommon,wondrous,no,DMG,2
dust_of_dryness,Wondrous Item,Dust of Dryness,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This small packet contains 1d6 + 4 pinches of dust.,uncommon,wondrous,no,DMG,2
dust_of_sneezing_and_choking,Wondrous Item,Dust of Sneezing and Choking,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"Found in a small container, this powder resembles Dust of Disappearance, and Identify reveals it to be such.",uncommon,wondrous,no,DMG,2
ear_horn_of_hearing,Wondrous Item,Ear Horn of Hearing,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While held up to your ear, this horn suppresses the effects of the Deafened condition on you.",common,wondrous,no,DMG,1
efreeti_bottle,Wondrous Item,Efreeti Bottle,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"When you take a Magic action to remove the stopper of this painted brass bottle, a cloud of thick smoke flows out of it.",very rare,wondrous,no,DMG,4
elemental_gem,Wondrous Item,Elemental Gem,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This gem contains a mote of elemental energy.,uncommon,wondrous,no,DMG,2
enduring_spellbook,Wondrous Item,Enduring Spellbook,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This spellbook, along with anything written on its pages, can’t be damaged by fire or water.",common,wondrous,no,DMG,1
ersatz_eye,Wondrous Item,Ersatz Eye,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This magical eye replaces a real one that was lost or removed.,common,wondrous,no,DMG,1
eversmoking_bottle,Wondrous Item,Eversmoking Bottle,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"As a Magic action, you can open or close this bottle.",uncommon,wondrous,no,DMG,2
eye_and_hand_of_vecna,Wondrous Item,Eye and Hand of Vecna,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire.",artifact,wondrous,yes,DMG,5
eyes_of_charming,Wondrous Item,Eyes of Charming,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,These crystal lenses fit over the eyes.,uncommon,wondrous,yes,DMG,2
eyes_of_minute_seeing,Wondrous Item,Eyes of Minute Seeing,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,These crystal lenses fit over the eyes.,uncommon,wondrous,no,DMG,2
eyes_of_the_eagle,Wondrous Item,Eyes of the Eagle,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,These crystal lenses fit over the eyes.,uncommon,wondrous,no,DMG,2
folding_boat,Wondrous Item,Folding Boat,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This object appears as a wooden box that measures 12 inches long, 6 inches wide, and 6 inches deep.",rare,wondrous,no,DMG,3
gauntlets_of_ogre_power,Wondrous Item,Gauntlets of Ogre Power,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,Your Strength is 19 while you wear these gauntlets.,uncommon,wondrous,yes,DMG,2
gem_of_brightness,Wondrous Item,Gem of Brightness,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This prism has 50 charges.,uncommon,wondrous,no,DMG,2
gem_of_seeing,Wondrous Item,Gem of Seeing,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This gem has 3 charges.,rare,wondrous,yes,DMG,3
gloves_of_missile_snaring,Wondrous Item,Gloves of Missile Snaring,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"If you’re hit by an attack roll made with a Ranged or Thrown weapon while wearing these gloves, you can take a Reaction to reduce the damage by 1d10 plus your Dexterity modifier if you have afree hand.",uncommon,wondrous,yes,DMG,2
gloves_of_swimming_and_climbing,Wondrous Item,Gloves of Swimming and Climbing,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing these gloves, you have a Climb Speed and a Swim Speed equal to your Speed, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim.",uncommon,wondrous,yes,DMG,2
gloves_of_thievery,Wondrous Item,Gloves of Thievery,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,These gloves are imperceptible while worn.,uncommon,wondrous,no,DMG,2
goggles_of_night,Wondrous Item,Goggles of Night,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing these dark lenses, you have Darkvision out to 60 feet.",uncommon,wondrous,no,DMG,2
hag_eye,Wondrous Item,Hag Eye,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,A Hag Eye has 3 charges.,uncommon,wondrous,no,DMG,2
hat_of_disguise,Wondrous Item,Hat of Disguise,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this hat, you can cast the Disguise Self spell.",uncommon,wondrous,yes,DMG,2
hat_of_many_spells,Wondrous Item,Hat of Many Spells,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This pointed hat has the following properties.,very rare,wondrous,yes,DMG,4
hat_of_vermin,Wondrous Item,Hat of Vermin,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This hat has 3 charges.,common,wondrous,no,DMG,1
hat_of_wizardry,Wondrous Item,Hat of Wizardry,,Common,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This cone-shaped hat is adorned with moons and stars.,common,wondrous,yes,DMG,1
headband_of_intellect,Wondrous Item,Headband of Intellect,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,Your Intelligence is 19 while you wear this headband.,uncommon,wondrous,yes,DMG,2
helm_of_brilliance,Wondrous Item,Helm of Brilliance,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This helm is set with 1d10 diamonds, 2d10 rubies, 3d10 fire opals, and 4d10 opals.",very rare,wondrous,yes,DMG,4
helm_of_comprehending_languages,Wondrous Item,Helm of Comprehending Languages,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this helm, you can cast Comprehend Languages from it.",uncommon,wondrous,no,DMG,2
helm_of_telepathy,Wondrous Item,Helm of Telepathy,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this helm, you have telepathy with a range of 30 feet, and you can cast Detect Thoughts or Suggestion (save DC 13) from the helm.",uncommon,wondrous,yes,DMG,2
helm_of_teleportation,Wondrous Item,Helm of Teleportation,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This helm has 3 charges.,rare,wondrous,yes,DMG,3
heward_s_handy_haversack,Wondrous Item,Heward’s Handy Haversack,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This backpack has a central pouch and two side pouches, each of which is an extradimensional space.",rare,wondrous,no,DMG,3
heward_s_handy_spice_pouch,Wondrous Item,Heward’s Handy Spice Pouch,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This belt pouch appears empty and has 10 charges.,common,wondrous,no,DMG,1
horn_of_blasting,Wondrous Item,Horn of Blasting,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"You can take a Magic action to blow the horn, which emits a thunderous blast in a 30-foot Cone that is audible out to 600 feet.",rare,wondrous,no,DMG,3
horn_of_silent_alarm,Wondrous Item,Horn of Silent Alarm,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"HELM OF TELEPORTATION, HEWARD’S HANDY HAVERSACK, HOLY AVENGER (GREATSWORD)",common,wondrous,no,DMG,1
horn_of_valhalla,Wondrous Item,Horn of Valhalla,,"Rare (Silver; Brass), Very Rare (Bronze),; Legendary (Iron)",,False,DMG 2024 (Magic Items A–Z PDF),0,,You can take a Magic action to blow this horn.,legendary,wondrous,no,DMG,5
horseshoes_of_speed,Wondrous Item,Horseshoes of Speed,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,These horseshoes come in a set of four.,rare,wondrous,no,DMG,3
horseshoes_of_a_zephyr,Wondrous Item,Horseshoes of a Zephyr,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,These horseshoes come in a set of four.,very rare,wondrous,no,DMG,4
instrument_of_illusions,Wondrous Item,Instrument of Illusions,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you are playing this musical instrument, you can take a Magic action to create harmless,illusory visual effects within a 5-foot Emanation originating from the instrument.",common,wondrous,no,DMG,1
instrument_of_scribing,Wondrous Item,Instrument of Scribing,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This musical instrument has 3 charges and regains all expended charges daily at dawn.,common,wondrous,no,DMG,1
iron_bands_of_bilarro,Wondrous Item,Iron Bands of Bilarro,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,This rusty iron sphere measures 3 inches in diameter and weighs 1 pound.,rare,wondrous,no,DMG,3
iron_flask,Wondrous Item,Iron Flask,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding this brass-stoppered iron flask, you can take a Magic action to target a creature that you can see within 60 feet of yourself.",legendary,wondrous,no,DMG,5
keoghtom_s_ointment,Wondrous Item,Keoghtom’s Ointment,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This glass jar, 3 inches in diameter, contains 1d4 + 1 doses of a thick mixture that smells faintly of aloe.",uncommon,wondrous,no,DMG,2
lantern_of_revealing,Wondrous Item,Lantern of Revealing,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While lit, this hooded lantern burns for 6 hours on 1 pint of oil, shedding Bright Light in a 30-foot radius and Dim Light for an additional 30 feet.",uncommon,wondrous,no,DMG,2
lock_of_trickery,Wondrous Item,Lock of Trickery,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This lock appears to be an ordinary Lock (of the type described in chapter 6 of the Player’s Handbook) and comes with a single key.,common,wondrous,no,DMG,1
mantle_of_spell_resistance,Wondrous Item,Mantle of Spell Resistance,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,You have Advantage on saving throws against spells while you wear this cloak.,rare,wondrous,yes,DMG,3
manual_of_bodily_health,Wondrous Item,Manual of Bodily Health,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This book contains health and nutrition tips, and its words are charged with magic.",very rare,wondrous,no,DMG,4
manual_of_gainful_exercise,Wondrous Item,Manual of Gainful Exercise,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This book describes fitness exercises, and its words are charged with magic.",very rare,wondrous,no,DMG,4
manual_of_golems,Wondrous Item,Manual of Golems,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,This tome contains information and incantations necessary to make a particular type of golem.,very rare,wondrous,no,DMG,4
manual_of_quickness_of_action,Wondrous Item,Manual of Quickness of Action,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This book contains coordination and balance exercises, and its words are charged with magic.",very rare,wondrous,no,DMG,4
medallion_of_thoughts,Wondrous Item,Medallion of Thoughts,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,The medallion has 5 charges.,uncommon,wondrous,yes,DMG,2
mirror_of_life_trapping,Wondrous Item,Mirror of Life Trapping,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"When this 4-foot-tall, 2-foot-wide mirror is viewed indirectly, its surface shows faint images of creatures.",very rare,wondrous,no,DMG,4
mystery_key,Wondrous Item,Mystery Key,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,A question mark is worked into the head of this key.,common,wondrous,no,DMG,1
nature_s_mantle,Wondrous Item,Nature’s Mantle,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This cloak shifts color and texture to blend with the terrain surrounding you.,uncommon,wondrous,yes,DMG,2
necklace_of_adaptation,Wondrous Item,Necklace of Adaptation,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this necklace, you can breathe normally in any environment, and you have Advantage on saving throws made to avoid or end the Poisoned condition.",uncommon,wondrous,yes,DMG,2
necklace_of_fireballs,Wondrous Item,Necklace of Fireballs,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,This necklace has 1d6 + 3 beads hanging from it.,rare,wondrous,no,DMG,3
necklace_of_prayer_beads,Wondrous Item,Necklace of Prayer Beads,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This necklace has 1d4 + 2 magic beads made from aquamarine, black pearl, or topaz.",rare,wondrous,yes,DMG,3
nolzur_s_marvelous_pigments,Wondrous Item,Nolzur’s Marvelous Pigments,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"ARTIST: CONCEPTOPOLIS, BRIAN VALEZA",very rare,wondrous,no,DMG,4
orb_of_direction,Wondrous Item,Orb of Direction,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This orb can be used as an Arcane Focus.,common,wondrous,no,DMG,1
orb_of_dragonkind,Wondrous Item,Orb of Dragonkind,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"Long ago, in the Dragonlance setting, elves and humans waged a terrible war against chromatic dragons.",artifact,wondrous,yes,DMG,5
orb_of_time,Wondrous Item,Orb of Time,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This orb can be used as an Arcane Focus.,common,wondrous,no,DMG,1
pearl_of_power,Wondrous Item,Pearl of Power,,Uncommon,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While this pearl is on your person, you can take a Magic action to regain one expended spell slot of level 3 or lower.",uncommon,wondrous,yes,DMG,2
perfume_of_bewitching,Wondrous Item,Perfume of Bewitching,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This tiny vial contains magic perfume, enough for one use.",common,wondrous,no,DMG,1
periapt_of_health,Wondrous Item,Periapt of Health,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this pendant, you can take a Magic action to regain 2d4 + 2 Hit Points.",uncommon,wondrous,yes,DMG,2
periapt_of_proof_against_poison,Wondrous Item,Periapt of Proof against Poison,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This delicate silver chain has a brilliant-cut black gem pendant.,rare,wondrous,yes,DMG,3
periapt_of_wound_closure,Wondrous Item,Periapt of Wound Closure,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While wearing this pendant, you gain the following benefits.",uncommon,wondrous,yes,DMG,2
pipe_of_smoke_monsters,Wondrous Item,Pipe of Smoke Monsters,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While smoking this pipe, you can take a Magic action to exhale a puff of smoke that takes the form of a creature, such as a dragon, a flumph, or a slaad.",common,wondrous,no,DMG,1
pipes_of_haunting,Wondrous Item,Pipes of Haunting,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,These pipes have 3 charges and regain 1d3 expended charges daily at dawn.,uncommon,wondrous,no,DMG,2
pipes_of_the_sewers,Wondrous Item,Pipes of the Sewers,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While these pipes are on your person, ordinary rats and giant rats are Indifferent toward you and won’t attack you unless you threaten or harm them.",uncommon,wondrous,yes,DMG,2
pole_of_angling,Wondrous Item,Pole of Angling,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This item functions as a Pole.,common,wondrous,no,DMG,1
pole_of_collapsing,Wondrous Item,Pole of Collapsing,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This item functions as a Pole.,common,wondrous,no,DMG,1
portable_hole,Wondrous Item,Portable Hole,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This fine black cloth, soft as silk, is folded up to the dimensions of a handkerchief.",rare,wondrous,no,DMG,3
pot_of_awakening,Wondrous Item,Pot of Awakening,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"If you plant an ordinary shrub in this 10-pound clay pot and let it grow for 30 days, the shrub magically transforms into an Awakened Shrub at the end of that time.",common,wondrous,no,DMG,1
prosthetic_limb,Wondrous Item,Prosthetic Limb,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This magic item replaces a lost limb—a hand, an arm, a foot, a leg, or a similar body part.",common,wondrous,no,DMG,1
quiver_of_ehlonna,Wondrous Item,Quiver of Ehlonna,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,Each of the quiver’s three compartments connects to an extradimensional space that allows the quiver to hold numerous items while never weighing more than 2 pounds.,uncommon,wondrous,no,DMG,2
rival_coin,Wondrous Item,Rival Coin,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,"RING OF THE RAM, RING OF WARMTH, RING OF THREE WISHES, RING OF WATER WALKING",common,wondrous,no,DMG,1
robe_of_eyes,Wondrous Item,Robe of Eyes,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This robe is adorned with eyelike patterns.,rare,wondrous,yes,DMG,3
robe_of_scintillating_colors,Wondrous Item,Robe of Scintillating Colors,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"This robe has 3 charges, and it regains 1d3 expended charges daily at dawn.",very rare,wondrous,yes,DMG,4
robe_of_stars,Wondrous Item,Robe of Stars,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This black or dark-blue robe is embroidered with small white or silver stars.,very rare,wondrous,yes,DMG,4
robe_of_useful_items,Wondrous Item,Robe of Useful Items,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This robe has cloth patches of various shapes and colors covering it.,uncommon,wondrous,no,DMG,2
robe_of_the_archmagi,Wondrous Item,Robe of the Archmagi,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This elegant garment is made from exquisite cloth and adorned with runes.,legendary,wondrous,yes,DMG,5
rope_of_climbing,Wondrous Item,Rope of Climbing,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This 60-foot length of rope can hold up to 3,000 pounds.",uncommon,wondrous,no,DMG,2
rope_of_entanglement,Wondrous Item,Rope of Entanglement,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,This rope is 30 feet long.,rare,wondrous,no,DMG,3
rope_of_mending,Wondrous Item,Rope of Mending,,Common,,False,DMG 2024 (Magic Items A–Z PDF),0,,This 50-foot coil of rope can repair itself when cut into any number of smaller pieces.,common,wondrous,no,DMG,1
ruby_of_the_war_mage,Wondrous Item,Ruby of the War Mage,,Common,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"Etched with eldritch runes, this 1-inch-diameter ruby allows you to use a Simple or Martial weapon as a Spellcasting Focus for your spells.",common,wondrous,yes,DMG,1
saddle_of_the_cavalier,Wondrous Item,Saddle of the Cavalier,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,This saddle confers the following benefits while you are seated in it and astride a mount.,uncommon,wondrous,no,DMG,2
scarab_of_protection,Wondrous Item,Scarab of Protection,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This beetle-shaped medallion provides three benefits while it is on your person.,legendary,wondrous,yes,DMG,5
sending_stones,Wondrous Item,Sending Stones,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),0,,"Sending Stones come in pairs, with each stone carved to match the other so the pairing is easily recognized.",uncommon,wondrous,no,DMG,2
slippers_of_spider_climbing,Wondrous Item,Slippers of Spider Climbing,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While you wear these light shoes, you can move up, down, and across vertical surfaces and along ceilings, while leaving your hands free.",uncommon,wondrous,yes,DMG,2
sovereign_glue,Wondrous Item,Sovereign Glue,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),0,,"This viscous, milky-white substance can form a permanent adhesive bond between any two objects.",legendary,wondrous,no,DMG,5
sphere_of_annihilation,Wondrous Item,Sphere of Annihilation,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),0,,"SPELL SCROLL, SOVEREIGN GLUE, SLIPPERS OF SPIDER CLIMBING",legendary,wondrous,no,DMG,5
spirit_board,Wondrous Item,Spirit Board,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,SPHERE OF ANNIHILATION,very rare,wondrous,no,DMG,4
stone_of_controlling_earth_elementals,Wondrous Item,Stone of Controlling Earth Elementals,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),0,,"While touching this 5-pound stone to the ground, you can take a Magic action to summon an Earth Elemental.",rare,wondrous,no,DMG,3
stone_of_good_luck_luckstone,Wondrous Item,Stone of Good Luck (Luckstone),,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While this polished agate is on your person, you gain a +1 bonus to ability checks and saving throws.",uncommon,wondrous,yes,DMG,2
talisman_of_pure_good,Wondrous Item,Talisman of Pure Good,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This talisman is a mighty symbol of goodness.,legendary,wondrous,yes,DMG,5
talisman_of_ultimate_evil,Wondrous Item,Talisman of Ultimate Evil,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,This item symbolizes unrepentant evil.,legendary,wondrous,yes,DMG,5
talisman_of_the_sphere,Wondrous Item,Talisman of the Sphere,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),0,,"While holding or wearing this talisman, you have Advantage on any Intelligence (Arcana) check you make to control a Sphere of Annihilation.",legendary,wondrous,yes,DMG,5
