item_id,name,category,subtype,rarity,attunement,consumable,source,allowed,notes,att_detail,rarity_norm,category_norm,attunement_norm,source_ref,power_band
staff_of_striking,Staff of Striking,Staff,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This staff can be wielded as a magic Quarterstaff that grants a +3 bonus to attack rolls anddamage rolls made with it.,Requires Attunement,very rare,staff,yes,DMG,4
staff_of_swarming_insects,Staff of Swarming Insects,Staff,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This staff has 10 charges.,"Requires Attunement by a Bard, Cleric, Druid, Sorcerer, Warlock, or Wizard",rare,staff,yes,DMG,3
staff_of_the_adder,Staff of the Adder,Staff,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"STAFF OF FROST, STAFF OF SWARMING",Requires Attunement,uncommon,staff,yes,DMG,2
staff_of_the_magi,Staff of the Magi,Staff,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This staff has 50 charges and can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls madewith it.,"Requires Attunement by a Sorcerer, Warlock, or Wizard",legendary,staff,yes,DMG,5
staff_of_the_python,Staff of the Python,Staff,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"As a Magic action, you can throw this staff so that it lands in an unoccupied space within 10 feet of you, causing the staff to become a Giant Constrictor Snake in that space.",Requires Attunement,uncommon,staff,yes,DMG,2
staff_of_the_woodlands,Staff of the Woodlands,Staff,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This staff has 6 charges and can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls made with it.,Requires Attunement by a Druid,rare,staff,yes,DMG,3
staff_of_thunder_and_lightning,Staff of Thunder and Lightning,Staff,,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This staff can be wielded as a magic Quarterstaff that grants a +2 bonus to attack rolls and damage rolls made with it.,Requires Attunement,very rare,staff,yes,DMG,4
staff_of_withering,Staff of Withering,Staff,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This staff has 3 charges and regains 1d3 expended charges daily at dawn.,Requires Attunement,rare,staff,yes,DMG,3
stone_of_controlling_earth_elementals,Stone of Controlling Earth Elementals,Wondrous Item,,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"While touching this 5-pound stone to the ground, you can take a Magic action to summon an Earth Elemental.",,rare,wondrous,no,DMG,3
stone_of_good_luck_luckstone,Stone of Good Luck (Luckstone),Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While this polished agate is on your person, you gain a +1 bonus to ability checks and saving throws.",Requires Attunement,uncommon,wondrous,yes,DMG,2
sun_blade,Sun Blade,Weapon,Longsword,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This item appears to be a sword hilt.,Requires Attunement,rare,weapon,yes,DMG,3
sword_of_answering,Sword of Answering,Weapon,Longsword,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +3 bonus to attack rolls and damage rolls made with this sword.,Requires Attunement,legendary,weapon,yes,DMG,5
sword_of_kas,Sword of Kas,Weapon,Longsword,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,Kas was a powerful warrior who served Vecna and whose loyalty was rewarded with this sword.,Requires Attunement,artifact,weapon,yes,DMG,5
sword_of_life_stealing,Sword of Life Stealing,Weapon,"Glaive, Greatsword, Longsword, Rapier, Scimitar, or Shortsword",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"When you attack a creature with this magic weapon and roll a 20 on the d20 for the attack roll, that target takes an extra 15 Necrotic damage if it isn’t a Construct or an Undead, and you gainTemporar…",Requires Attunement,rare,weapon,yes,DMG,3
sword_of_sharpness,Sword of Sharpness,Weapon,"Glaive, Greatsword, Longsword, or Scimitar",Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"When you attack an object with this magic weapon and hit, maximize your weapon damage dice against the target.",Requires Attunement,very rare,weapon,yes,DMG,4
sword_of_vengeance,Sword of Vengeance,Weapon,"Glaive, Greatsword, Longsword, Rapier, Scimitar, or Shortsword",Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.,Requires Attunement,uncommon,weapon,yes,DMG,2
sword_of_wounding,Sword of Wounding,Weapon,"Glaive, Greatsword, Longsword, Rapier, Scimitar, or Shortsword",Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"When you hit a creature with an attack using this magic weapon, the target takes an extra 2d6 Necrotic damage and must succeed on a DC 15 Constitution saving throw or be unable to regainHit Points for 1 hour.",Requires Attunement,rare,weapon,yes,DMG,3
sylvan_talon,Sylvan Talon,Weapon,"Dagger, Rapier, Scimitar, Shortsword, Sickle, or Spear",Common,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While this weapon is on your person, you understand the nonwritten communication of all Fey, and they understand yours.",Requires Attunement,common,weapon,yes,DMG,1
talisman_of_pure_good,Talisman of Pure Good,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This talisman is a mighty symbol of goodness.,Requires Attunement by a Cleric or Paladin,legendary,wondrous,yes,DMG,5
talisman_of_the_sphere,Talisman of the Sphere,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While holding or wearing this talisman, you have Advantage on any Intelligence (Arcana) check you make to control a Sphere of Annihilation.",Requires Attunement,legendary,wondrous,yes,DMG,5
talisman_of_ultimate_evil,Talisman of Ultimate Evil,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This item symbolizes unrepentant evil.,Requires Attunement,legendary,wondrous,yes,DMG,5
talking_doll,Talking Doll,Wondrous Item,,Common,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While this doll is within 5 feet of you, you can spend a Short Rest telling it to say up to six phrases, none of which can be more than six words long, and set a condition under which the dollspeaks each phrase.",Requires Attunement,common,wondrous,yes,DMG,1
tankard_of_sobriety,Tankard of Sobriety,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,This tankard has a stern face sculpted into one side.,,common,wondrous,no,DMG,1
tentacle_rod,Tentacle Rod,Rod,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This rod ends in three rubbery tentacles.,Requires Attunement,rare,rod,yes,DMG,3
thunderous_greatclub,Thunderous Greatclub,Weapon,Greatclub,Very Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While you are attuned to this magic weapon, your Strength is 20 unless your Strength is already equal to or greater than that score.",Requires Attunement,very rare,weapon,yes,DMG,4
tome_of_clear_thought,Tome of Clear Thought,Wondrous Item,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"This book contains memory and logic exercises, and its words are charged with magic.",,very rare,wondrous,no,DMG,4
tome_of_leadership_and_influence,Tome of Leadership and Influence,Wondrous Item,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"This book contains guidelines for influencing and charming others, and its words are charged with magic.",,very rare,wondrous,no,DMG,4
tome_of_the_stilled_tongue,Tome of the Stilled Tongue,Wondrous Item,,Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This book has a desiccated tongue pinned to its front cover.,Requires Attunement by a Wizard,legendary,wondrous,yes,DMG,5
tome_of_understanding,Tome of Understanding,Wondrous Item,,Very Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,"This book contains intuition and insight exercises, and its words are charged with magic.",,very rare,wondrous,no,DMG,4
trident_of_fish_command,Trident of Fish Command,Weapon,Trident,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"This magic weapon has 3 charges, and it regains 1d3 expended charges daily at dawn.",Requires Attunement,uncommon,weapon,yes,DMG,2
universal_solvent,Universal Solvent,Wondrous Item,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),True,This tube holds milky liquid with a strong alcohol smell.,,legendary,wondrous,no,DMG,5
veteran_s_cane,Veteran’s Cane,Wondrous Item,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,"As a Bonus Action, you can transform this walking cane into an ordinary Longsword or change the Longsword back into a walking cane.",,common,wondrous,no,DMG,1
vicious_weapon,Vicious Weapon,Weapon,Any Simple or Martial,Rare,,False,DMG 2024 (Magic Items A–Z PDF),True,This magic weapon deals an extra 2d6 damage to any creature it hits.,,rare,weapon,no,DMG,3
vorpal_sword,Vorpal Sword,Weapon,"Glaive, Greatsword, Longsword, or Scimitar",Legendary,Required,False,DMG 2024 (Magic Items A–Z PDF),True,You gain a +3 bonus to attack rolls and damage rolls made with this magic weapon.,Requires Attunement,legendary,weapon,yes,DMG,5
walloping_ammunition,Walloping Ammunition,Weapon,Any Ammunition,Common,,True,DMG 2024 (Magic Items A–Z PDF),True,A creature hit by this ammunition must succeed on a DC 10 Strength saving throw or have the Prone condition.,,common,weapon,no,DMG,1
wand_of_binding,Wand of Binding,Wand,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement,rare,wand,yes,DMG,3
wand_of_conducting,Wand of Conducting,Wand,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 3 charges.,,common,wand,no,DMG,1
wand_of_enemy_detection,Wand of Enemy Detection,Wand,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"WAND OF ENEMY DETECTION, WAND OF FEAR, WAND OF FIREBALL",Requires Attunement,rare,wand,yes,DMG,3
wand_of_fear,Wand of Fear,Wand,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement,rare,wand,yes,DMG,3
wand_of_fireballs,Wand of Fireballs,Wand,,Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement by a Spellcaster,rare,wand,yes,DMG,3
wand_of_lightning_bolts,Wand of Lightning Bolts,Wand,,Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement by a Spellcaster,rare,wand,yes,DMG,3
wand_of_magic_detection,Wand of Magic Detection,Wand,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 3 charges.,,uncommon,wand,no,DMG,2
wand_of_magic_missiles,Wand of Magic Missiles,Wand,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,,uncommon,wand,no,DMG,2
wand_of_orcus,Wand of Orcus,Wand,,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"Crafted and wielded by Orcus, this ghastly wand slips from the demon lord’s grasp from time to time.",Requires Attunement,artifact,wand,yes,DMG,5
wand_of_paralysis,Wand of Paralysis,Wand,,Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement by a Spellcaster,rare,wand,yes,DMG,3
wand_of_polymorph,Wand of Polymorph,Wand,,Very Rare,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement by a Spellcaster,very rare,wand,yes,DMG,4
wand_of_pyrotechnics,Wand of Pyrotechnics,Wand,,Common,,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,,common,wand,no,DMG,1
wand_of_secrets,Wand of Secrets,Wand,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 3 charges and regains 1d3 expended charges daily at dawn.,,uncommon,wand,no,DMG,2
wand_of_the_war_mage_plus1_plus2_or_plus3,"Wand of the War Mage, +1, +2, or +3",Wand,,"Uncommon (+1), Rare (+2),; Very Rare (+3)",Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While holding this wand, you gain a bonus to spell attack rolls determined by the wand’s rarity.",Requires Attunement by a Spellcaster,very rare,wand,yes,DMG,4
wand_of_web,Wand of Web,Wand,,Uncommon,Spellcaster Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement by a Spellcaster,uncommon,wand,yes,DMG,2
wand_of_wonder,Wand of Wonder,Wand,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,This wand has 7 charges.,Requires Attunement,rare,wand,yes,DMG,3
wave,Wave,Weapon,Trident,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"Held in the dungeon of White Plume Mountain, Wave is engraved with images of waves, shells, and sea creatures.",Requires Attunement,artifact,weapon,yes,DMG,5
weapon_plus1_plus2_or_plus3,"Weapon, +1, +2, or +3",Weapon,Any Simple or Martial,"Uncommon (+1), Rare (+2),; Very Rare (+3)",,False,DMG 2024 (Magic Items A–Z PDF),True,You have a bonus to attack rolls and damage rolls made with this magic weapon.,,very rare,weapon,no,DMG,4
weapon_of_warning,Weapon of Warning,Weapon,Any Simple or Martial,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"As long as this weapon is within your reach and you are attuned to it, you and allies within 30 feet of you gain the following benefits.",Requires Attunement,uncommon,weapon,yes,DMG,2
well_of_many_worlds,Well of Many Worlds,Wondrous Item,,Legendary,,False,DMG 2024 (Magic Items A–Z PDF),True,"This fine black cloth, soft as silk, is folded up to the dimensions of a handkerchief.",,legendary,wondrous,no,DMG,5
whelm,Whelm,Weapon,Warhammer,Artifact,Required,False,DMG 2024 (Magic Items A–Z PDF),True,Whelm is a powerful weapon forged by dwarves and lost in the dungeon of White Plume Mountain.,Requires Attunement by a Dwarf or a Creature Attuned to a Belt of Dwarvenkind,artifact,weapon,yes,DMG,5
wind_fan,Wind Fan,Wondrous Item,,Uncommon,,False,DMG 2024 (Magic Items A–Z PDF),True,"While holding this fan, you can cast Gust of Wind (save DC 13) from it.",,uncommon,wondrous,no,DMG,2
winged_boots,Winged Boots,Wondrous Item,,Uncommon,Required,False,DMG 2024 (Magic Items A–Z PDF),True,These boots have 4 charges and regain 1d4 expended charges daily at dawn.,Requires Attunement,uncommon,wondrous,yes,DMG,2
wings_of_flying,Wings of Flying,Wondrous Item,,Rare,Required,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing this cloak, you can take a Magic action to turn the cloak into a pair of wings on your back.",Requires Attunement,rare,wondrous,yes,DMG,3
wraps_of_unarmed_power,Wraps of Unarmed Power,Wondrous Item,,"Uncommon (+1), Rare (+2),; Very Rare (+3)",,False,DMG 2024 (Magic Items A–Z PDF),True,"While wearing these wraps, you have a bonus to attack rolls and damage rolls made with your Unarmed Strikes.",,very rare,wondrous,no,DMG,4
potion_of_healing,Potion of Healing,Potion,,Common,,True,XGtE,True,,,common,potion,no,XGtE,1
spell_scroll_cantrip,Spell Scroll (Cantrip),Scroll,,Common,,True,XGtE,True,,,common,scroll,no,XGtE,1
spell_scroll_1st_level,Spell Scroll (1st Level),Scroll,,Common,,True,XGtE,True,,,common,scroll,no,XGtE,1
unbreakable_arrow,Unbreakable Arrow,Weapon,,Common,,False,XGtE,True,,,common,weapon,no,XGtE,1
wand_of_scowls,Wand of Scowls,Wand,,Common,,False,XGtE,True,,,common,wand,no,XGtE,1
wand_of_smiles,Wand of Smiles,Wand,,Common,,False,XGtE,True,,,common,wand,no,XGtE,1
ammunition_plus_1,"Ammunition, +1",Weapon,,Uncommon,,False,XGtE,True,,,uncommon,weapon,no,XGtE,2
potion_of_healing_greater,"Potion of Healing, Greater",Potion,,Uncommon,,True,XGtE,True,,,uncommon,potion,no,XGtE,1
potion_of_hill_giant_strength,Potion of Hill Giant Strength,Potion,,Uncommon,,True,XGtE,True,,,uncommon,potion,no,XGtE,1
spell_scroll_2nd_level,Spell Scroll (2nd Level),Scroll,,Uncommon,,True,XGtE,True,,,uncommon,scroll,no,XGtE,1
spell_scroll_3rd_level,Spell Scroll (3rd Level),Scroll,,Uncommon,,True,XGtE,True,,,uncommon,scroll,no,XGtE,1
ammunition_plus_2,"Ammunition, +2",Weapon,,Rare,,False,XGtE,True,,,rare,weapon,no,XGtE,3
potion_of_fire_giant_strength,Potion of Fire Giant Strength,Potion,,Rare,,True,XGtE,True,,,rare,potion,no,XGtE,1
potion_of_frost_giant_strength,Potion of Frost Giant Strength,Potion,,Rare,,True,XGtE,True,,,rare,potion,no,XGtE,1
potion_of_stone_giant_strength,Potion of Stone Giant Strength,Potion,,Rare,,True,XGtE,True,,,rare,potion,no,XGtE,1
potion_of_healing_superior,"Potion of Healing, Superior",Potion,,Rare,,True,XGtE,True,,,rare,potion,no,XGtE,1
quaal_s_feather_token,Quaal’s Feather Token,Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
spell_scroll_4th_level,Spell Scroll (4th Level),Scroll,,Rare,,True,XGtE,True,,,rare,scroll,no,XGtE,1
spell_scroll_5th_level,Spell Scroll (5th Level),Scroll,,Rare,,True,XGtE,True,,,rare,scroll,no,XGtE,1
ammunition_plus_3,"Ammunition, +3",Weapon,,Rare,,False,XGtE,True,,,rare,weapon,no,XGtE,3
arrow_of_slaying,Arrow of Slaying,Weapon,,Rare,,False,XGtE,True,,,rare,weapon,no,XGtE,3
potion_of_cloud_giant_strength,Potion of Cloud Giant Strength,Potion,,Rare,,True,XGtE,True,,,rare,potion,no,XGtE,1
potion_of_healing_supreme,"Potion of Healing, Supreme",Potion,,Rare,,True,XGtE,True,,,rare,potion,no,XGtE,1
spell_scroll_6th_level,Spell Scroll (6th Level),Scroll,,Rare,,True,XGtE,True,,,rare,scroll,no,XGtE,1
spell_scroll_7th_level,Spell Scroll (7th Level),Scroll,,Rare,,True,XGtE,True,,,rare,scroll,no,XGtE,1
spell_scroll_8th_level,Spell Scroll (8th Level),Scroll,,Rare,,True,XGtE,True,,,rare,scroll,no,XGtE,1
potion_of_storm_giant_strength,Potion of Storm Giant Strength,Potion,,Legendary,,True,XGtE,True,,,legendary,potion,no,XGtE,3
spell_scroll_9th_level,Spell Scroll (9th Level),Scroll,,Legendary,,True,XGtE,True,,,legendary,scroll,no,XGtE,3
figurine_of_wondrous_power_silver_raven,Figurine of Wondrous Power (silver Raven),Wondrous Item,,Uncommon,,False,XGtE,True,,,uncommon,wondrous,no,XGtE,2
instrument_of_the_bards_doss_lute,Instrument of the Bards (doss Lute),Wondrous Item,,Uncommon,Required,False,XGtE,True,,Requires Attunement,uncommon,wondrous,yes,XGtE,2
instrument_of_the_bards_fochlucan_bandore,Instrument of the Bards (fochlucan Bandore),Wondrous Item,,Uncommon,Required,False,XGtE,True,,Requires Attunement,uncommon,wondrous,yes,XGtE,2
instrument_of_the_bards_mac_fuirmidh_cittern,Instrument of the Bards (mac-Fuirmidh Cittern),Wondrous Item,,Uncommon,Required,False,XGtE,True,,Requires Attunement,uncommon,wondrous,yes,XGtE,2
rod_of_the_pact_keeper_plus_1,"Rod of the Pact Keeper, +1",Rod,,Uncommon,Required,False,XGtE,True,,Requires Attunement,uncommon,rod,yes,XGtE,2
shield_plus_1,"Shield, +1",Armor,,Uncommon,,False,XGtE,True,,,uncommon,armor,no,XGtE,2
wand_of_the_war_mage_plus_1,"Wand of the War Mage, +1",Wand,,Uncommon,Required,False,XGtE,True,,Requires Attunement,uncommon,wand,yes,XGtE,2
weapon_plus_1,"Weapon, +1",Weapon,,Uncommon,,False,XGtE,True,,,uncommon,weapon,no,XGtE,2
armor_plus_1,"Armor, +1",Armor,,Rare,,False,XGtE,True,,,rare,armor,no,XGtE,3
belt_of_hill_giant_strength,Belt of Hill Giant Strength,Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
figurine_of_wondrous_power_bronze_griffon,Figurine of Wondrous Power (bronze Griffon),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
figurine_of_wondrous_power_ebony_fly,Figurine of Wondrous Power (ebony Fly),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
figurine_of_wondrous_power_golden_lions,Figurine of Wondrous Power (golden Lions),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
figurine_of_wondrous_power_ivory_goats,Figurine of Wondrous Power (ivory Goats),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
figurine_of_wondrous_power_marble_elephant,Figurine of Wondrous Power (marble Elephant),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
figurine_of_wondrous_power_onyx_dog,Figurine of Wondrous Power (onyx Dog),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
figurine_of_wondrous_power_serpentine_owl,Figurine of Wondrous Power (serpentine Owl),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
horn_of_valhalla_silver_or_brass,Horn of Valhalla (silver or Brass),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
instrument_of_the_bards_canaith_mandolin,Instrument of the Bards (canaith Mandolin),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
instrument_of_the_bards_cli_lyre,Instrument of the Bards (cli Lyre),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_awareness,Ioun Stone (awareness),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_protection,Ioun Stone (protection),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_reserve,Ioun Stone (reserve),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_sustenance,Ioun Stone (sustenance),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
rod_of_the_pact_keeper_plus_2,"Rod of the Pact Keeper, +2",Rod,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,rod,yes,XGtE,3
shield_plus_2,"Shield, +2",Armor,,Rare,,False,XGtE,True,,,rare,armor,no,XGtE,3
wand_of_the_war_mage_plus_2,"Wand of the War Mage, +2",Wand,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wand,yes,XGtE,3
weapon_plus_2,"Weapon, +2",Weapon,,Rare,,False,XGtE,True,,,rare,weapon,no,XGtE,3
armor_plus_2,"Armor, +2",Armor,,Rare,,False,XGtE,True,,,rare,armor,no,XGtE,3
belt_of_fire_giant_strength,Belt of Fire Giant Strength,Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
belt_of_giant_strength_frost_stone,Belt of Giant Strength (frost/stone),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
crystal_ball_very_rare,Crystal Ball (very Rare),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
figurine_of_wondrous_power_obsidian_steed,Figurine of Wondrous Power (obsidian Steed),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
horn_of_valhalla_bronze,Horn of Valhalla (bronze),Wondrous Item,,Rare,,False,XGtE,True,,,rare,wondrous,no,XGtE,3
instrument_of_the_bards_anstruth_harp,Instrument of the Bards (anstruth Harp),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_absorption,Ioun Stone (absorption),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_agility,Ioun Stone (agility),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_fortitude,Ioun Stone (fortitude),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_insight,Ioun Stone (insight),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_intellect,Ioun Stone (intellect),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_leadership,Ioun Stone (leadership),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
ioun_stone_strength,Ioun Stone (strength),Wondrous Item,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wondrous,yes,XGtE,3
rod_of_the_pact_keeper_plus_3,"Rod of the Pact Keeper, +3",Rod,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,rod,yes,XGtE,3
shield_plus_3,"Shield, +3",Armor,,Rare,,False,XGtE,True,,,rare,armor,no,XGtE,3
wand_of_the_war_mage_plus_3,"Wand of the War Mage, +3",Wand,,Rare,Required,False,XGtE,True,,Requires Attunement,rare,wand,yes,XGtE,3
weapon_plus_3,"Weapon, +3",Weapon,,Rare,,False,XGtE,True,,,rare,weapon,no,XGtE,3
armor_plus_3,"Armor, +3",Armor,,Legendary,,False,XGtE,True,,,legendary,armor,no,XGtE,5
belt_of_cloud_giant_strength,Belt of Cloud Giant Strength,Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
belt_of_storm_giant_strength,Belt of Storm Giant Strength,Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
crystal_ball_legendary,Crystal Ball (legendary),Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
horn_of_valhalla_iron,Horn of Valhalla (iron),Wondrous Item,,Legendary,,False,XGtE,True,,,legendary,wondrous,no,XGtE,5
instrument_of_the_bards_ollamh_harp,Instrument of the Bards (ollamh Harp),Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
ioun_stone_greater_absorption,Ioun Stone (greater Absorption),Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
ioun_stone_mastery,Ioun Stone (mastery),Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
ioun_stone_regeneration,Ioun Stone (regeneration),Wondrous Item,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,wondrous,yes,XGtE,5
ring_of_air_elemental_command,Ring of Air Elemental Command,Ring,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,ring,yes,XGtE,5
ring_of_earth_elemental_command,Ring of Earth Elemental Command,Ring,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,ring,yes,XGtE,5
ring_of_fire_elemental_command,Ring of Fire Elemental Command,Ring,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,ring,yes,XGtE,5
ring_of_water_elemental_command,Ring of Water Elemental Command,Ring,,Legendary,Required,False,XGtE,True,,Requires Attunement,legendary,ring,yes,XGtE,5
illuminator_s_tattoo,Illuminator’s Tattoo,Wondrous Item,,Common,Required,False,TCE,True,,Requires Attunement,common,wondrous,yes,TCE,1
masquerade_tattoo,Masquerade Tattoo,Wondrous Item,,Common,Required,False,TCE,True,,Requires Attunement,common,wondrous,yes,TCE,1
spellwrought_tattoo,Spellwrought Tattoo,Wondrous Item,,Common,,False,TCE,True,,,common,wondrous,no,TCE,1
all_purpose_tool,All-Purpose Tool,Wondrous Item,,Uncommon,Required,False,TCE,True,,Requires Attunement,uncommon,wondrous,yes,TCE,2
amulet_of_the_devout,Amulet of the Devout,Wondrous Item,,Uncommon,Required,False,TCE,True,,Requires Attunement,uncommon,wondrous,yes,TCE,2
arcane_grimoire,Arcane Grimoire,Wondrous Item,,Uncommon,Required,False,TCE,True,,Requires Attunement,uncommon,wondrous,yes,TCE,2
